sample_index,label,quality_score
0,2,0.34174693132548245
1,1,0.7074628352133708
2,2,0.12231167138724977
3,2,0.41238178304301804
4,2,0.15124110625900564
5,2,0.2870990962596683
6,2,0.23292133785234187
7,1,0.4285415159463534
8,2,0.5533686179379081
9,0,0.4627260173484016
10,2,0.29290037297000765
11,1,0.6866794787842577
12,1,0.32629686041655886
13,0,0.40096875173422625
14,1,0.43727116046059944
15,2,0.4566567429850144
16,2,0.6047912657910942
17,2,0.27853507322749066
18,0,0.694163822054229
19,2,0.5709923519435655
20,2,0.6350607437469088
21,0,0.07510297317148472
22,1,0.6342149173786655
23,1,0.5433943313964091
24,0,0.6493007019116731
25,0,0.5071853530172463
26,1,0.22535772775912974
27,0,0.4530213242559742
28,1,0.6975093946961755
29,0,0.631329110836901
30,2,0.4612546302695622
31,1,0.3784067354085685
32,1,0.09113487053963987
33,1,0.5703331736238892
34,2,0.5001857893134508
35,0,0.6465074352143418
36,1,0.35253348839240944
37,2,0.33599061041440825
38,2,0.3974898573771684
39,1,0.12864127401125328
40,2,0.35326923894620726
41,2,0.5595102688244398
42,1,0.20900381218091685
43,0,0.5051803628562035
44,1,0.3380359637098171
45,2,0.474353017740139
46,1,0.27750266483314
47,2,0.5107873900174109
48,1,0.5648844415606156
49,2,0.3324883929359022
50,1,0.5386849767206493
51,0,0.6370506131760616
52,0,0.3829680894741913
53,2,0.46915946653035795
54,2,0.4476892968728063
55,1,0.6593513995247947
56,1,0.33455544934949016
57,0,0.15887794050021428
58,2,0.2260997749870698
59,0,0.5118813307251611
60,1,0.454462163838175
61,2,0.4114392105196522
62,0,0.29223234293690964
63,0,0.3622979494893045
64,2,0.17222995983485861
65,0,0.1800727340225655
66,0,0.4876078425902676
67,1,0.6492515794502182
68,2,0.26902310689390796
69,1,0.6296761495544622
70,2,0.2984949606570608
71,2,0.6717587064670038
72,2,0.19535096903660806
73,0,0.5407087974992462
74,2,0.4136544911811065
75,2,0.5449619188975549
76,1,0.8760601005771478
77,0,0.2518496989598843
78,1,0.7817480269725999
79,0,0.5126517921422722
80,2,0.19072032545940631
81,1,0.3048963191460635
82,0,0.3903793867766867
83,0,0.16494969734354759
84,2,0.25043453174539315
85,1,0.904137422098734
86,2,0.060183797654108535
87,1,0.7947131977613243
88,1,0.7001112470072574
89,0,0.38134658814751915
90,1,0.1000994969562384
91,2,0.4296771804474914
92,0,0.49799576550338803
93,0,0.47457446897774547
94,0,0.6516826752652922
95,1,0.45122456902629604
96,0,0.6424058034185373
97,0,0.38985559270477405
98,2,0.24821925458627336
99,2,0.15911752571281432
100,1,0.07518690163474158
101,2,0.2408109406273588
102,2,0.540719646516551
103,0,0.4984219212635835
104,2,0.13316671556099466
105,1,0.718377752992321
106,0,0.7696589135630325
107,1,0.41670537693008686
108,0,0.13850393372817857
109,1,0.5424832317395766
110,0,0.43646750863600076
111,2,0.2751393021569322
112,2,0.3644487873218538
113,2,0.7422209883604689
114,0,0.3479796093402774
115,1,0.646334476316776
116,2,0.47130306310334946
117,2,0.20316405156519168
118,1,0.5720214806704335
119,0,0.06368711624364794
120,2,0.11137461016416894
121,0,0.7237061044100955
122,0,0.2268403270075288
123,1,0.04886171278847868
124,0,0.4985143845643312
125,1,0.912471586741385
126,0,0.02820041559951032
127,2,0.3063543380063326
128,2,0.2604232423266506
129,0,0.5257896281344213
130,1,0.6866450652211961
131,2,0.5783263320557033
132,1,0.16500056534247107
133,1,0.9414408309905773
134,1,0.21319880824738485
135,0,0.5781914820217576
136,0,0.6876231724363727
137,1,0.264964054305166
138,1,0.5954514837210869
139,0,0.7018245443513563
140,0,0.5991483616845308
141,1,0.6917688982662135
142,0,0.4395200375165574
143,1,0.4383443276509372
144,0,0.659074798805906
145,1,0.7944985807155026
146,1,0.4673398840418244
147,1,0.6942929541475508
148,0,0.12476144221897094
149,1,0.20581804173062596
150,0,0.5264991462613254
151,2,0.6510216549987801
152,0,0.13787425003431686
153,2,0.6553564773290282
154,0,0.8093815449825931
155,0,0.6065608524664644
156,1,0.4133234104931529
157,0,0.5701804395334317
158,0,0.5787397021072693
159,0,0.544964246146725
160,0,0.05670843598479905
161,2,0.31155658456584157
162,2,0.6355421758469242
163,0,0.4683190525601834
164,2,0.16108277964327367
165,0,0.6764150571229033
166,1,0.5923398258197775
167,1,0.4480483136959625
168,0,0.1758552453855782
169,1,0.5938784849638822
170,0,0.7224408353821424
171,2,0.06067568230691502
172,0,0.6733112305635603
173,1,0.8941822687773692
174,1,0.21686859272292416
175,2,0.35506396441257226
176,1,0.312034435386307
177,2,0.21697366563959164
178,2,0.394456666292377
179,1,0.08806429905587562
180,0,0.38455357557848135
181,2,0.11045774684034444
182,0,0.2999524241310259
183,0,0.5253518086701787
184,1,0.5795435592491957
185,1,0.600840663032819
186,1,0.49433259806415736
187,0,0.1967228538627211
188,2,0.23374520593019424
189,1,0.8282588519130637
190,0,0.028365193943054902
191,2,0.28055047172280917
192,0,0.4624836685883462
193,0,0.786851814571473
194,1,0.9290150091712377
195,1,0.7567855207690434
196,1,0.7316353494527102
197,1,0.5237749398585775
198,1,0.7747343837082493
199,2,0.417594333395604
