sample_index,current_label,suggested_label,suggested_confidence,self_confidence,margin,label_quality,rank
6,0,1,0.9530963877736301,0.005680721625147162,0.9474156661484829,0.005680721625147162,1
276,1,2,0.9395145920050257,0.008722257262493073,0.9307923347425326,0.008722257262493073,2
170,2,1,0.9149708058298647,0.02560012222585973,0.889370683604005,0.02560012222585973,3
37,0,1,0.8706103260114417,0.035659000387982,0.8349513256234598,0.035659000387982,4
256,2,1,0.8493042605801946,0.038433301874749734,0.8108709587054449,0.038433301874749734,5
42,1,2,0.8863125459789166,0.09117526617798338,0.7951372798009333,0.09117526617798338,6
206,1,2,0.7980027174595742,0.025519577057188783,0.7724831404023854,0.025519577057188783,7
296,1,2,0.8245859725250804,0.05876306858893099,0.7658229039361494,0.05876306858893099,8
294,0,1,0.8158439669194163,0.08718406148596264,0.7286599054334537,0.08718406148596264,9
221,1,2,0.7414189127948553,0.021801721464916792,0.7196171913299385,0.021801721464916792,10
244,1,2,0.7117379242016191,0.01599486278414998,0.6957430614174691,0.01599486278414998,11
209,2,0,0.7766348128254473,0.0936269328900112,0.6830078799354361,0.0936269328900112,12
146,1,2,0.7574977969317462,0.0756981247017909,0.6817996722299553,0.0756981247017909,13
236,2,0,0.8005556048266578,0.11911485692391943,0.6814407479027383,0.11911485692391943,14
299,0,2,0.7690860779222843,0.10456516386751702,0.6645209140547673,0.10456516386751702,15
56,2,0,0.740521487014484,0.07985575849529149,0.6606657285191925,0.07985575849529149,16
262,2,0,0.7525410534910691,0.10876027467303419,0.643780778818035,0.10876027467303419,17
174,2,1,0.7154108989362937,0.08296702773949649,0.6324438711967972,0.08296702773949649,18
125,2,0,0.7742565954910645,0.17862543371591563,0.5956311617751489,0.17862543371591563,19
97,1,2,0.7486202659156846,0.155105409777722,0.5935148561379626,0.155105409777722,20
237,1,2,0.6386251701900981,0.04518495539632336,0.5934402147937747,0.04518495539632336,21
271,0,1,0.7506240714063054,0.1582992913983883,0.5923247800079171,0.1582992913983883,22
66,0,2,0.7494453498624766,0.15714948718004051,0.5922958626824361,0.15714948718004051,23
50,2,0,0.6840519819852493,0.09407083150192394,0.5899811504833253,0.09407083150192394,24
213,0,2,0.7199749727502945,0.13619944911280077,0.5837755236374937,0.13619944911280077,25
203,2,0,0.7384779690997909,0.16948108853568258,0.5689968805641084,0.16948108853568258,26
290,2,0,0.6538010624607159,0.09783822428364847,0.5559628381770674,0.09783822428364847,27
187,0,1,0.658588150809972,0.10843415263937148,0.5501539981706005,0.10843415263937148,28
59,0,1,0.6928363580919161,0.15034302326551252,0.5424933348264036,0.15034302326551252,29
224,0,1,0.6721824519275049,0.13460552281810012,0.5375769291094048,0.13460552281810012,30
193,2,0,0.6883057894841002,0.17220346787397567,0.5161023216101245,0.17220346787397567,31
201,0,1,0.6876541267428415,0.17784210411546492,0.5098120226273766,0.17784210411546492,32
171,0,2,0.6386416329206439,0.1353950386688995,0.5032465942517445,0.1353950386688995,33
189,1,0,0.6198947083535534,0.11729051340127253,0.5026041949522809,0.11729051340127253,34
30,2,0,0.5639021373179808,0.07916648437125244,0.4847356529467283,0.07916648437125244,35
109,2,1,0.6852652581083083,0.20918587545575248,0.4760793826525558,0.20918587545575248,36
179,1,2,0.5698745614869205,0.10912691992634585,0.4607476415605747,0.10912691992634585,37
131,1,0,0.687421764737761,0.23796638287516614,0.4494553818625948,0.23796638287516614,38
285,0,2,0.6944605762778163,0.24667724870145025,0.4477833275763661,0.24667724870145025,39
127,2,0,0.5803063126606377,0.14620626466976774,0.43410004799087,0.14620626466976774,40
164,2,1,0.6993076704628072,0.2669685464976924,0.43233912396511476,0.2669685464976924,41
128,0,1,0.6171386014367998,0.19061916273935633,0.42651943869744346,0.19061916273935633,42
142,0,2,0.5438958003173102,0.12008801752379529,0.42380778279351494,0.12008801752379529,43
198,0,2,0.686476748022916,0.27769682977850846,0.40877991824440757,0.27769682977850846,44
145,0,1,0.6378130396830658,0.23861738281740613,0.39919565686565966,0.23861738281740613,45
18,2,1,0.47370142024288453,0.07669077311625361,0.3970106471266309,0.07669077311625361,46
90,0,1,0.48960352233021204,0.09904826932993295,0.3905552530002791,0.09904826932993295,47
222,0,2,0.5530142092981779,0.17509900142798693,0.37791520787019095,0.17509900142798693,48
195,1,0,0.4703387255048612,0.09500782915639724,0.37533089634846395,0.09500782915639724,49
81,2,0,0.672968891756894,0.30121168196733894,0.37175720978955507,0.30121168196733894,50
208,1,0,0.5223907760159227,0.1531544871979092,0.36923628881801346,0.1531544871979092,51
87,1,2,0.48320105971915245,0.11555407374436646,0.36764698597478596,0.11555407374436646,52
35,2,0,0.5050107867151908,0.1382910624063217,0.3667197243088691,0.1382910624063217,53
137,0,1,0.6093979015108197,0.26423036077701595,0.3451675407338038,0.26423036077701595,54
112,1,0,0.5758381333552741,0.23190812903188168,0.34393000432339244,0.23190812903188168,55
297,0,1,0.567365821084658,0.23022124620500858,0.33714457487964944,0.23022124620500858,56
28,0,1,0.5028250105858046,0.16880219379518543,0.3340228167906192,0.16880219379518543,57
31,2,1,0.48080491752496524,0.14914939347636041,0.3316555240486048,0.14914939347636041,58
93,1,2,0.4955743319130914,0.16695403577387435,0.32862029613921706,0.16695403577387435,59
29,2,1,0.5633391427001572,0.2379168614507739,0.32542228124938327,0.2379168614507739,60
7,2,0,0.6352045824987328,0.3117921988287184,0.3234123836700144,0.3117921988287184,61
233,1,2,0.5778893640411698,0.26476376548056335,0.3131255985606064,0.26476376548056335,62
68,2,1,0.5911344794490859,0.2780406847534222,0.31309379469566373,0.2780406847534222,63
94,0,1,0.5522849487036756,0.23969502589455458,0.312589922809121,0.23969502589455458,64
98,2,0,0.44268840235320067,0.13523943073156028,0.3074489716216404,0.13523943073156028,65
166,1,0,0.6279313194017494,0.3213642730609272,0.3065670463408222,0.3213642730609272,66
76,0,2,0.5993753206316977,0.29715075493227716,0.3022245656994206,0.29715075493227716,67
58,2,1,0.5684134705231371,0.2666253940477124,0.30178807647542466,0.2666253940477124,68
158,0,2,0.5031020627252044,0.2112992695444173,0.2918027931807871,0.2112992695444173,69
32,0,1,0.6240083559926874,0.33328849479806116,0.2907198611946263,0.33328849479806116,70
190,0,1,0.5541843650869247,0.27083601407813146,0.28334835100879324,0.27083601407813146,71
230,0,1,0.5559243210330215,0.2762271353919002,0.2796971856411213,0.2762271353919002,72
199,1,2,0.5859638877967223,0.3080871146271535,0.27787677316956877,0.3080871146271535,73
251,2,0,0.543499553429941,0.26659113955032143,0.2769084138796196,0.26659113955032143,74
77,2,1,0.5512052426523602,0.27807683536346073,0.2731284072888994,0.27807683536346073,75
211,1,2,0.47770023120478894,0.20554866024652696,0.272151570958262,0.20554866024652696,76
84,1,2,0.5457630068516377,0.28158213723946784,0.26418086961216986,0.28158213723946784,77
79,2,1,0.5489778438788688,0.29015646133104345,0.2588213825478254,0.29015646133104345,78
191,0,1,0.5013233504198669,0.24703412875050118,0.2542892216693657,0.24703412875050118,79
273,0,1,0.49862897626051517,0.24659579150286037,0.2520331847576548,0.24659579150286037,80
43,0,1,0.43089509882763277,0.1810555834995109,0.24983951532812188,0.1810555834995109,81
124,2,1,0.538234403026703,0.2885023900405285,0.24973201298617448,0.2885023900405285,82
286,0,1,0.4454087939798185,0.19790079496498914,0.24750799901482934,0.19790079496498914,83
