sample_index,true_label,predicted_label,confidence,rank
1,2,0,0.5566666666666666,1
221,1,2,0.5566666666666666,2
220,2,0,0.5566666666666666,3
211,0,2,0.5566666666666666,4
210,2,1,0.5566666666666666,5
208,0,2,0.5566666666666666,6
206,2,1,0.5566666666666666,7
205,1,0,0.5566666666666666,8
203,2,1,0.5566666666666666,9
202,1,2,0.5566666666666666,10
201,1,0,0.5566666666666666,11
198,0,2,0.5566666666666666,12
195,2,1,0.5566666666666666,13
192,1,2,0.5566666666666666,14
188,0,2,0.5566666666666666,15
187,1,0,0.5566666666666666,16
185,0,2,0.5566666666666666,17
183,0,2,0.5566666666666666,18
179,0,1,0.5566666666666666,19
175,2,0,0.5566666666666666,20
172,2,1,0.5566666666666666,21
171,0,2,0.5566666666666666,22
168,0,2,0.5566666666666666,23
164,1,2,0.5566666666666666,24
162,2,0,0.5566666666666666,25
160,1,0,0.5566666666666666,26
159,1,2,0.5566666666666666,27
156,1,2,0.5566666666666666,28
155,1,0,0.5566666666666666,29
154,2,1,0.5566666666666666,30
222,1,0,0.5566666666666666,31
224,0,1,0.5566666666666666,32
227,0,1,0.5566666666666666,33
231,0,2,0.5566666666666666,34
294,1,2,0.5566666666666666,35
291,1,0,0.5566666666666666,36
290,1,0,0.5566666666666666,37
289,0,1,0.5566666666666666,38
286,1,2,0.5566666666666666,39
283,2,1,0.5566666666666666,40
282,0,1,0.5566666666666666,41
279,2,0,0.5566666666666666,42
278,0,2,0.5566666666666666,43
277,2,0,0.5566666666666666,44
274,1,2,0.5566666666666666,45
273,1,0,0.5566666666666666,46
271,1,0,0.5566666666666666,47
267,0,2,0.5566666666666666,48
152,0,1,0.5566666666666666,49
265,0,1,0.5566666666666666,50
262,2,0,0.5566666666666666,51
259,2,1,0.5566666666666666,52
253,2,0,0.5566666666666666,53
248,0,1,0.5566666666666666,54
247,0,2,0.5566666666666666,55
246,0,2,0.5566666666666666,56
245,2,0,0.5566666666666666,57
244,2,0,0.5566666666666666,58
243,2,0,0.5566666666666666,59
241,2,1,0.5566666666666666,60
237,1,2,0.5566666666666666,61
236,2,1,0.5566666666666666,62
233,0,1,0.5566666666666666,63
232,1,2,0.5566666666666666,64
264,2,0,0.5566666666666666,65
296,2,1,0.5566666666666666,66
148,2,1,0.5566666666666666,67
145,0,2,0.5566666666666666,68
66,0,2,0.5566666666666666,69
62,0,1,0.5566666666666666,70
58,2,0,0.5566666666666666,71
56,2,0,0.5566666666666666,72
53,0,1,0.5566666666666666,73
52,2,0,0.5566666666666666,74
51,1,0,0.5566666666666666,75
48,0,1,0.5566666666666666,76
47,2,1,0.5566666666666666,77
46,1,0,0.5566666666666666,78
42,2,0,0.5566666666666666,79
40,1,0,0.5566666666666666,80
37,0,2,0.5566666666666666,81
33,0,2,0.5566666666666666,82
32,1,0,0.5566666666666666,83
29,2,1,0.5566666666666666,84
27,1,2,0.5566666666666666,85
24,1,0,0.5566666666666666,86
23,0,2,0.5566666666666666,87
21,2,0,0.5566666666666666,88
18,2,0,0.5566666666666666,89
17,0,1,0.5566666666666666,90
14,2,0,0.5566666666666666,91
11,0,1,0.5566666666666666,92
10,2,1,0.5566666666666666,93
8,0,2,0.5566666666666666,94
7,2,0,0.5566666666666666,95
6,0,1,0.5566666666666666,96
5,0,2,0.5566666666666666,97
68,2,1,0.5566666666666666,98
73,1,0,0.5566666666666666,99
75,1,0,0.5566666666666666,100
76,1,2,0.5566666666666666,101
143,0,1,0.5566666666666666,102
142,0,1,0.5566666666666666,103
140,0,1,0.5566666666666666,104
137,2,1,0.5566666666666666,105
136,2,0,0.5566666666666666,106
134,2,1,0.5566666666666666,107
132,1,2,0.5566666666666666,108
130,0,1,0.5566666666666666,109
127,0,1,0.5566666666666666,110
124,0,1,0.5566666666666666,111
123,2,0,0.5566666666666666,112
115,1,2,0.5566666666666666,113
114,0,1,0.5566666666666666,114
112,0,2,0.5566666666666666,115
147,1,0,0.5566666666666666,116
110,0,1,0.5566666666666666,117
105,0,2,0.5566666666666666,118
100,1,0,0.5566666666666666,119
99,1,0,0.5566666666666666,120
98,2,1,0.5566666666666666,121
94,2,0,0.5566666666666666,122
93,1,2,0.5566666666666666,123
92,2,1,0.5566666666666666,124
90,1,0,0.5566666666666666,125
89,0,2,0.5566666666666666,126
88,2,0,0.5566666666666666,127
86,0,2,0.5566666666666666,128
83,0,1,0.5566666666666666,129
82,0,2,0.5566666666666666,130
79,1,0,0.5566666666666666,131
109,2,0,0.5566666666666666,132
299,0,1,0.5566666666666666,133
